scenario,availability_percent,data_availability_percent,incoming_data_integrity_percent,trusted_control_data_percent,energy_efficiency_percent,average_response_time_steps
baseline,77.0,100.0,100.0,100.0,87.85,0.0
fdi_attack,75.67,100.0,0.0,0.0,86.13,1.32
dos_drop_attack,75.0,69.0,100.0,69.0,87.59,1.33
dos_delay_attack,44.67,99.33,100.0,99.33,85.86,2.2
cmd_injection_attack,67.67,100.0,100.0,100.0,86.11,1.48
secured_fdi,77.33,100.0,0.0,0.0,87.98,1.29
secured_dos_drop,53.67,69.0,100.0,54.0,72.18,1.8
secured_dos_delay,50.67,99.33,100.0,54.0,72.85,1.88
secured_cmd_injection,47.0,100.0,100.0,54.33,70.16,2.06
