time_step,scenario,attack_type,security_enabled,solar_generation,wind_generation,total_generation,true_load,reported_load,served_load,unmet_demand,reserve_used,storage_used,load_shed,voltage,frequency,imbalance,packet_received,packet_tampered,controller_data_trusted,used_fallback,anomaly_detected,command_authenticated
43,secured_dos_delay,dos_delay,True,24.396229942985915,19.372372145111775,43.768602088097694,66.4458533963772,66.4458533963772,62.81749318705248,0.0,13.606350784967704,5.442540313987083,3.628360209324722,1.0,50.0,0.0,True,False,False,True,True,True
44,secured_dos_delay,dos_delay,True,22.42587343326251,17.107222688664464,39.533096121926974,63.43095100029436,63.43095100029436,59.60729421975557,0.0,14.33871292702043,5.735485170808172,3.8236567805387818,1.0,50.0,0.0,True,False,False,True,True,True
45,secured_dos_delay,dos_delay,True,22.791833136987233,19.667325625945125,42.45915876293236,64.02838226644933,64.02838226644933,60.57730650588661,0.0,12.941534102110179,5.176613640844072,3.4510757605627154,1.0,50.0,7.105427357601002e-15,True,False,False,True,True,True
46,secured_dos_delay,dos_delay,True,18.428614317031787,15.482719629844937,33.911333946876724,62.95382205250174,62.95382205250174,58.307023955601736,0.0,17.42549286337501,6.970197145350006,4.646798096900004,1.0,50.0,7.105427357601002e-15,True,False,False,True,True,True
47,secured_dos_delay,dos_delay,True,20.45919041027483,21.24242147256404,41.70161188283887,64.09983642993463,64.09983642993463,60.5161205023993,0.0,13.438934728257454,5.375573891302982,3.583715927535322,1.0,50.0,7.105427357601002e-15,True,False,False,True,True,True
48,secured_dos_delay,dos_delay,True,19.85642915482332,16.33233764114185,36.18876679596517,66.16027655040891,66.16027655040891,61.36483498969791,0.0,17.982905852666242,7.193162341066497,4.795441560710998,1.0,50.0,0.0,True,False,False,True,True,True
49,secured_dos_delay,dos_delay,True,19.00843342896676,16.468900000084535,35.4773334290513,64.26693571883801,64.26693571883801,59.66059935247214,0.0,17.273761373872027,6.909504549548812,4.606336366365875,1.0,50.0,0.0,True,False,False,True,True,True
50,secured_dos_delay,dos_delay,True,12.682573515799973,15.955630783630339,28.638204299430313,63.04162958078358,63.04162958078358,57.28025946824227,0.0,20.0,8.64205516881196,5.7613701125413055,1.0,50.0,0.0,True,False,False,True,True,True
51,secured_dos_delay,dos_delay,True,14.972269459358703,20.03734125961764,35.00961071897635,62.630811574524,62.630811574524,58.21141943763637,7.105427357601002e-15,16.572720513328594,6.629088205331437,4.419392136887625,1.0,50.0,-7.105427357601002e-15,True,False,False,True,True,True
52,secured_dos_delay,dos_delay,True,12.221871922381776,16.31719833924698,28.539070261628755,65.23358607638909,65.23358607638909,58.55577975048495,0.0,20.0,10.016709488856202,6.677806325904134,1.0,50.0,0.0,True,False,False,True,True,True
